tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,moonphase,year,month_April,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,Partly cloudy,Rainy,Overcast,Clear,Snow
32.1,24.8,28.0,36.8,24.8,30.4,23.0,75.4,0.789,100,12.5,rain,0.0,0.0,23.8,21.3,167.7,1018.5,63.5,14.0,233.8,20.1,8,0.1,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
33.2,24.4,27.9,38.3,24.4,30.6,23.5,77.9,16.319,100,20.83,rain,0.0,0.0,61.7,21.7,194.6,1014.3,57.5,15.1,188.9,16.1,9,0.14,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
31.5,24.1,26.9,34.6,24.1,28.3,21.8,74.5,1.061,100,8.33,rain,0.0,0.0,28.4,14.3,66.3,1012.3,62.3,15.9,195.1,17.1,8,0.17,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
26.0,22.6,24.5,26.0,22.6,24.5,21.0,81.2,84.17,100,29.17,rain,0.0,0.0,66.6,26.6,73.6,1013.1,74.6,14.5,88.3,7.5,6,0.21,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
29.3,19.7,24.9,30.8,19.7,25.4,18.9,70.5,0.0,0,0.0,none,0.0,0.0,20.9,15.6,169.2,1018.1,36.6,16.0,271.2,23.4,9,0.25,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
30.5,21.9,26.1,32.4,21.9,26.9,19.3,67.4,0.0,0,0.0,none,0.0,0.0,27.0,19.6,178.3,1017.5,64.9,16.0,289.2,24.8,10,0.28,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
32.8,22.7,26.0,38.1,22.7,27.5,22.2,80.4,25.056,100,33.33,rain,0.0,0.0,53.6,35.9,185.4,1011.9,64.3,15.7,144.0,12.4,9,0.31,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
32.2,22.1,27.2,34.7,22.1,28.3,20.3,68.4,0.0,0,0.0,none,0.0,0.0,35.3,20.1,308.2,1010.0,52.3,16.0,247.5,21.2,9,0.35,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
32.7,22.6,27.8,33.1,22.6,28.3,18.0,56.9,0.0,0,0.0,none,0.0,0.0,27.8,16.0,294.3,1014.6,33.7,15.8,303.5,26.0,10,0.39,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
33.8,23.6,29.4,36.7,23.6,30.6,19.7,57.3,0.0,0,0.0,none,0.0,0.0,35.1,25.0,317.1,1015.7,57.6,16.0,272.5,23.6,10,0.42,2019,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
